y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10234,0,681,0,20,0,0,0,0,0
62,10234,0,690,16,22,0,0,0,0,0
61,10234,0,618,76,21,7,0,0,0,0
60,10234,0,619,96,22,18,0,0,0,0
59,10234,0,489,200,18,21,0,0,0,0
58,10234,0,389,200,6,17,0,0,0,0
57,10234,0,575,295,2,14,0,0,0,0
56,10234,0,670,291,6,7,0,0,0,0
55,10234,0,716,193,18,6,0,0,0,0
54,10234,0,724,301,29,14,0,0,0,0
53,10234,0,591,305,25,16,0,0,0,0
52,10234,0,795,244,40,24,0,0,0,0
51,10234,0,738,199,39,22,0,0,0,0
50,10234,0,789,158,46,19,0,0,0,0
49,10234,0,1327,200,78,6,0,0,0,0
48,10234,0,1446,286,56,4,0,0,0,0
47,10234,0,1202,343,57,8,0,0,0,0
46,10234,0,1138,445,54,8,0,0,0,0
45,10234,0,825,408,56,23,0,0,0,0
44,10234,0,521,398,108,35,0,0,0,0
43,10234,0,462,336,100,31,0,0,0,0
42,10234,0,461,341,97,24,0,0,0,0
41,10234,0,634,289,156,26,0,0,0,0
40,10234,0,1186,314,168,26,0,0,0,0
39,10234,0,1259,326,180,20,0,0,0,0
38,10234,1,1577,407,168,8,0,0,0,0
37,10234,6,1445,302,208,9,0,0,0,0
36,10234,12,1268,297,225,1,0,0,0,0
35,10234,15,1072,330,241,20,0,0,0,0
34,10234,14,943,257,291,41,0,0,0,0
33,10234,10,1219,250,245,44,0,0,0,0
32,10234,4,1401,315,204,46,0,0,0,0
31,10234,0,1383,430,165,37,0,0,0,0
30,10234,0,1303,502,113,45,0,0,0,0
29,10234,0,1270,544,150,45,0,0,0,0
28,10234,0,871,526,173,33,0,0,0,0
27,10234,0,740,391,168,9,0,0,0,0
26,10234,0,383,346,186,24,0,0,0,0
25,10234,0,408,397,223,28,0,0,0,0
24,10234,0,476,463,284,18,0,0,0,0
23,10234,0,392,464,260,20,0,0,0,0
22,10234,0,294,385,282,26,0,0,0,0
21,10234,0,182,404,297,62,0,0,0,0
20,10234,0,271,408,292,90,0,0,0,0
19,10234,0,433,415,380,83,0,32,0,0
18,10234,0,658,421,395,121,0,83,0,0
17,10234,0,581,365,325,122,0,79,0,0
16,10234,0,588,372,240,103,0,60,0,0
15,10234,0,553,400,190,145,0,83,0,0
14,10234,0,409,464,148,125,12,114,0,0
13,10234,0,552,425,146,119,12,80,0,0
12,10234,0,566,363,228,70,18,49,0,0
11,10234,0,434,379,292,76,30,46,0,0
10,10234,0,392,416,439,39,36,98,0,3
9,10234,0,472,355,470,33,24,70,0,3
8,10234,0,256,414,420,76,12,46,0,3
7,10234,0,320,428,378,101,64,42,0,0
6,10234,0,296,386,295,98,90,64,0,0
5,10234,0,233,350,295,102,79,40,0,0
4,10234,0,98,322,227,127,101,99,0,0
3,10234,0,59,314,197,152,116,110,0,0
2,10234,0,23,147,160,124,44,106,0,0
1,10234,0,0,169,105,143,85,80,0,0
0,10234,0,0,182,105,110,74,15,0,0
-1,10234,0,0,291,102,80,104,6,0,0
-2,10234,0,0,247,103,92,157,0,0,0
-3,10234,0,0,158,126,77,102,6,0,0
-4,10234,0,0,60,206,50,77,92,0,2
-5,10234,0,0,20,163,54,80,184,0,2
-6,10234,0,0,15,113,62,63,197,0,7
-7,10234,0,0,0,136,87,87,140,0,2
-8,10234,0,0,0,85,123,93,127,0,2
-9,10234,14,0,0,94,75,104,76,0,11
-10,10234,21,0,0,95,80,92,102,0,17
-11,10234,28,0,0,77,84,71,120,0,14
-12,10234,42,0,0,149,66,62,103,0,8
-13,10234,42,0,0,141,66,66,132,0,12
-14,10234,49,0,0,129,59,97,155,0,10
-15,10234,59,0,0,99,75,87,217,0,6
-16,10234,49,0,0,79,48,42,222,0,6
-17,10234,48,0,0,98,67,65,352,0,20
-18,10234,53,0,0,92,77,68,279,0,23
-19,10234,46,0,0,64,40,104,208,0,33
-20,10234,50,0,0,68,61,80,135,0,36
-21,10234,47,0,0,85,83,66,131,0,24
-22,10234,46,0,0,77,115,60,81,0,20
-23,10234,55,0,0,61,99,77,139,0,10
-24,10234,68,0,0,76,88,103,94,0,6
-25,10234,71,0,0,63,84,93,72,0,28
-26,10234,36,0,0,38,59,103,41,0,22
-27,10234,19,0,0,33,18,158,28,0,21
-28,10234,30,0,0,17,24,242,28,0,16
