y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10234,0,1338,17,10,0,0,0,0,0
62,10234,0,1288,38,26,0,0,0,0,0
61,10234,0,1388,269,30,15,0,0,0,0
60,10234,0,1287,345,32,15,0,0,0,0
59,10234,0,1444,474,28,15,0,0,0,0
58,10234,0,1604,470,27,2,0,0,0,0
57,10234,0,1594,367,27,3,0,0,0,0
56,10234,0,1716,379,49,3,0,0,0,0
55,10234,0,1175,284,44,1,0,0,0,0
54,10234,0,791,226,36,1,0,0,0,0
53,10234,0,511,269,20,1,0,0,0,0
52,10234,0,360,231,4,0,0,0,0,0
51,10234,0,758,256,4,0,0,0,0,0
50,10234,0,1078,316,19,0,0,0,0,0
49,10234,0,1061,258,26,1,0,0,0,0
48,10234,0,908,271,39,1,0,0,0,0
47,10234,0,1046,271,70,10,0,0,0,0
46,10234,0,813,222,54,13,0,0,0,0
45,10234,0,695,255,83,14,0,0,0,0
44,10234,0,761,277,65,1,0,0,0,0
43,10234,0,807,299,79,1,0,0,0,0
42,10234,0,1376,482,75,3,0,0,0,0
41,10234,0,1574,577,143,6,0,0,0,0
40,10234,0,1604,529,169,6,0,0,0,0
39,10234,0,1510,439,206,6,0,0,0,0
38,10234,0,1707,478,186,3,0,0,0,0
37,10234,0,1385,428,118,6,0,0,0,0
36,10234,0,1119,415,72,9,0,0,0,0
35,10234,0,834,609,107,10,0,0,0,0
34,10234,0,612,549,94,5,0,0,0,0
33,10234,0,619,486,116,3,0,0,0,0
32,10234,0,621,540,135,8,0,0,0,0
31,10234,0,729,501,130,14,0,0,0,0
30,10234,0,762,257,155,30,0,0,0,0
29,10234,0,633,208,148,40,0,0,0,0
28,10234,0,377,176,135,51,0,20,0,0
27,10234,0,166,150,185,57,0,20,0,0
26,10234,0,157,130,277,33,0,20,0,0
25,10234,0,350,172,232,37,0,4,0,0
24,10234,0,406,443,306,30,0,0,0,0
23,10234,0,392,510,251,9,0,0,0,0
22,10234,0,415,468,174,0,0,8,0,0
21,10234,0,455,413,226,3,0,20,0,0
20,10234,0,534,422,240,12,0,29,0,0
19,10234,0,593,522,254,28,0,29,0,0
18,10234,0,460,537,248,49,0,24,0,0
17,10234,0,391,364,355,41,0,51,0,0
16,10234,0,388,251,346,33,0,45,0,0
15,10234,0,282,287,255,25,0,48,0,0
14,10234,0,354,338,253,26,30,70,0,0
13,10234,0,178,376,230,43,108,63,0,0
12,10234,0,274,375,249,68,159,50,0,3
11,10234,0,226,226,156,93,139,60,0,15
10,10234,0,226,104,152,51,141,78,0,15
9,10234,0,292,221,190,41,104,86,0,0
8,10234,0,290,377,165,50,79,61,0,0
7,10234,0,230,1098,174,59,74,65,0,0
6,10234,0,203,1032,216,65,124,85,0,0
5,10234,0,103,1143,207,96,121,67,0,0
4,10234,0,74,939,149,91,112,39,0,6
