y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10234,0,448,0,47,18,0,123,0,0
62,10234,0,353,106,46,34,0,181,0,0
61,10234,0,735,246,38,34,0,144,0,0
60,10234,0,1037,305,44,36,0,178,0,0
59,10234,0,1153,334,51,19,0,131,0,0
58,10234,0,1231,308,53,19,0,140,0,0
57,10234,0,1130,218,57,6,0,186,0,0
56,10234,0,985,239,47,7,0,186,0,0
55,10234,0,717,231,24,11,0,191,0,0
54,10234,0,769,320,16,17,0,171,0,0
53,10234,0,1017,309,40,8,0,62,0,0
52,10234,0,841,261,61,8,0,73,0,0
51,10234,0,1022,245,69,37,0,122,0,0
50,10234,0,926,203,70,58,0,136,0,0
49,10234,0,1082,255,114,31,0,206,0,0
48,10234,0,957,265,131,32,0,270,0,0
47,10234,0,1002,252,183,18,0,291,0,0
46,10234,0,1177,263,180,2,0,334,0,0
45,10234,0,1188,218,221,12,0,320,0,0
44,10234,0,1259,336,164,20,0,386,0,0
43,10234,0,1172,425,144,20,0,345,0,0
42,10234,0,1242,499,107,19,0,324,0,0
41,10234,0,1365,464,116,25,0,265,0,0
40,10234,0,1405,411,121,16,0,176,0,0
39,10234,0,1119,388,83,4,0,129,0,0
38,10234,0,1271,400,103,0,0,208,0,0
37,10234,0,1180,294,86,9,0,217,0,0
36,10234,0,1161,225,94,10,0,266,0,0
35,10234,0,1147,386,95,5,0,301,0,0
34,10234,0,987,405,112,4,0,235,0,0
33,10234,0,830,462,172,13,0,130,0,0
32,10234,0,626,518,251,4,0,16,0,0
31,10234,0,512,479,238,9,0,0,0,0
30,10234,0,634,361,217,9,0,0,0,0
29,10234,0,461,418,249,2,0,0,0,0
28,10234,0,268,370,265,4,0,0,0,0
27,10234,0,184,496,257,6,0,40,0,0
26,10234,0,248,457,269,7,0,40,0,0
25,10234,0,325,403,134,37,0,48,0,0
24,10234,0,453,382,169,52,0,64,0,0
23,10234,0,450,348,244,49,0,64,0,0
22,10234,0,422,297,236,55,0,24,0,0
21,10234,0,384,346,231,47,0,56,0,0
20,10234,0,313,332,199,71,0,59,0,0
19,10234,0,198,297,240,28,0,32,0,0
18,10234,0,188,348,321,38,0,16,0,0
17,10234,0,80,303,323,23,0,8,0,0
