y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10234,0,969,0,13,23,0,0,0,0
62,10234,0,1104,13,6,19,0,0,0,0
61,10234,0,814,29,14,16,0,0,0,0
60,10234,0,992,155,14,10,0,0,0,0
59,10234,0,1081,195,16,2,0,0,0,0
58,10234,0,683,301,18,1,0,0,0,0
57,10234,0,538,239,8,3,0,0,0,0
56,10234,0,734,221,11,32,0,0,0,0
55,10234,0,693,235,18,37,0,0,0,0
54,10234,0,832,218,34,60,0,0,0,0
53,10234,0,1516,254,67,51,0,0,0,0
52,10234,0,1707,412,50,53,0,0,0,0
51,10234,0,1703,314,47,58,0,0,0,0
50,10234,0,1922,272,69,67,0,0,0,0
49,10234,0,1852,412,114,48,0,0,0,0
48,10234,0,1746,439,107,34,0,0,0,0
47,10234,0,1378,488,113,84,0,0,0,0
46,10234,0,1378,489,127,77,0,0,0,0
45,10234,0,1387,453,125,82,0,0,0,0
44,10234,0,1501,350,114,67,0,0,0,0
43,10234,0,1902,359,156,50,0,0,0,0
42,10234,0,1890,344,138,41,0,0,0,0
41,10234,0,1537,277,132,38,0,0,0,0
40,10234,0,1435,284,152,33,0,0,0,0
39,10234,0,1340,208,154,16,0,0,0,0
38,10234,0,1017,323,158,10,0,0,0,0
37,10234,0,868,364,184,13,0,0,0,0
36,10234,0,836,386,159,26,0,0,0,0
35,10234,0,910,333,125,16,0,0,0,0
34,10234,0,922,234,116,8,0,0,0,0
33,10234,0,604,205,137,5,0,0,0,0
32,10234,0,458,167,176,6,0,0,0,0
31,10234,0,466,135,166,6,0,0,0,0
30,10234,0,589,113,155,16,0,0,0,0
29,10234,0,477,245,159,16,0,32,0,0
28,10234,0,338,253,137,17,0,40,0,0
27,10234,0,190,386,144,13,0,48,0,0
26,10234,0,155,318,175,6,0,48,0,0
25,10234,0,124,249,210,7,0,24,0,0
24,10234,0,424,230,209,7,0,16,0,0
23,10234,0,428,182,150,19,0,8,0,0
22,10234,0,600,273,110,23,0,8,0,0
21,10234,0,792,256,56,24,0,0,0,0
20,10234,0,907,328,129,35,0,3,0,0
19,10234,0,878,473,197,30,0,12,0,0
18,10234,0,1044,455,259,25,0,23,0,0
17,10234,0,977,403,302,15,0,25,0,0
16,10234,0,404,234,271,25,0,48,0,0
15,10234,54,289,170,228,47,12,58,0,0
14,10234,220,189,179,168,35,26,43,0,0
13,10234,389,224,238,130,26,60,63,0,2
12,10234,243,227,361,199,47,64,76,0,6
11,10234,73,222,340,231,33,16,77,0,10
10,10234,28,278,413,298,33,24,83,0,2
9,10234,37,278,371,360,58,34,115,0,0
8,10234,11,240,433,347,69,62,83,0,0
7,10234,0,240,459,230,119,67,83,0,0
6,10234,0,68,319,181,132,51,59,0,0
5,10234,3,152,369,156,140,34,58,0,0
4,10234,12,212,361,197,133,32,99,0,0
3,10234,15,188,323,161,135,38,126,0,0
2,10234,4,114,291,169,69,47,136,0,2
1,10234,0,56,273,140,34,56,143,0,0
0,10234,0,56,297,215,42,74,165,0,0
-1,10234,0,0,342,221,46,64,165,0,8
-2,10234,0,0,226,220,52,46,127,0,20
-3,10234,0,0,73,142,49,15,132,0,32
-4,10234,0,0,17,61,49,36,110,0,24
-5,10234,5,0,0,41,50,58,135,0,26
-6,10234,18,0,0,37,58,78,100,0,22
-7,10234,13,0,0,59,60,72,122,0,18
-8,10234,9,0,0,100,60,64,129,0,18
-9,10234,9,0,0,64,71,46,124,0,18
-10,10234,11,0,0,40,52,33,114,0,12
-11,10234,14,0,0,37,52,62,130,0,18
-12,10234,9,0,0,46,57,52,171,0,16
